순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
136,불한당: 나쁜 놈들의 세상,2017-05-17,"2,853,330",0.0%,"7,756,894,825",284,"964,652",1,8,한국,한국,(주)씨제이이엔엠
137,앵무새 몸으로 울었다,1981-10-24,"1,798,500",0.0%,"1,798,500",272,272,18,85,한국,한국,(주)다자인소프트
138,그녀,2014-05-22,"1,854,500",0.0%,"3,010,285,644",271,"369,702",4,28,미국,미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)"
139,진짜로 일어날지도 몰라 기적,2011-12-22,"1,953,000",0.0%,"347,806,400",270,"44,950",5,37,일본,일본,"(주)스튜디오 보난자,(주)미로비젼"
140,"좋아해, 너를",2017-09-14,"2,586,000",0.0%,"270,599,800",259,"31,239",3,7,일본,일본,(주)디오시네마
141,패왕별희 디 오리지널,2017-03-30,"3,934,500",0.0%,"1,018,028,390",255,"111,036",3,5,중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
142,점보,2021-05-05,"2,334,600",0.0%,"2,334,600",251,251,12,152,프랑스,프랑스,주식회사 왓챠
143,오버 데어,,"2,630,000",0.0%,"7,220,000",248,790,1,1,한국,한국,(주)영화사 진진
144,아무도 없는 곳,2021-03-31,"2,098,000",0.0%,"174,143,200",245,"20,212",6,79,한국,한국,(주)엣나인필름
145,일 트로바토레,2016-01-16,"5,892,500",0.0%,"69,537,500",241,"2,819",7,44,미국,미국,(주) 인스터 글로벌
146,노예 12년,2014-02-27,"1,666,000",0.0%,"3,658,866,900",240,"500,662",10,61,미국,"미국,영국","판씨네마(주),(주)프레인글로벌"
147,산 파블로,,"462,000",0.0%,"2,413,000",231,"1,042",1,6,미국,미국,
148,사랑하고 사랑받고 차고 차이고,2021-06-16,"1,561,000",0.0%,"1,561,000",223,223,2,2,일본,일본,주식회사 컨텐츠썬
149,민며느리,1965-09-10,"444,000",0.0%,"6,193,000",222,"3,095",1,12,한국,한국,
150,키다리 아저씨,,"438,000",0.0%,"2,163,000",219,"1,168",1,12,미국,미국,
150,신세계,2013-02-21,"1,711,000",0.0%,"34,922,775,285",219,"4,689,507",4,27,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
152,내 친구의 집은 어디인가,1996-08-17,"1,539,000",0.0%,"10,361,000",212,"1,403",1,4,이란,이란,
153,로켓 파일럿,,"422,000",0.0%,"658,000",211,329,1,12,미국,미국,
154,메가 릴렉스 불멍,,"1,273,970",0.0%,"1,273,970",209,209,22,112,한국,한국,메가박스중앙(주)
155,마르셀리노,1990-04-07,"421,000",0.0%,"5,743,000",208,"2,844",1,12,스페인,"스페인,이탈리아",
156,자녀목,1985-03-01,"1,362,000",0.0%,"1,362,000",207,207,15,80,한국,한국,(주)다자인소프트
157,악녀,2017-06-08,"1,607,000",0.0%,"9,742,033,144",200,"1,208,379",3,23,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
158,"무순, 세상을 가로질러",2021-04-22,"1,952,500",0.0%,"7,483,500",199,780,8,71,한국,한국,영화배급협동조합 씨네소파
159,섀도우 클라우드,2021-04-22,"1,372,000",0.0%,"11,512,140",196,"1,282",1,1,미국,미국,(주)제이앤씨미디어그룹
159,컨저링3: 악마가 시켰다,2021-06-03,"2,940,000",0.0%,"2,940,000",196,196,1,1,미국,미국,워너브러더스 코리아(주)
161,팅커 테일러 솔저 스파이,2012-02-09,"1,923,000",0.0%,"741,338,400",192,"97,804",3,26,영국,"영국,프랑스,독일","(주)드림팩트엔터테인먼트,팝엔터테인먼트"
162,플립,2017-07-12,"1,619,100",0.0%,"2,854,848,630",186,"358,855",10,36,미국,미국,(주)팝엔터테인먼트
163,공중 트라피스,,"366,000",0.0%,"10,600,000",183,"5,027",1,12,미국,미국,
163,24 프레임,,"1,354,000",0.0%,"1,580,000",183,233,1,2,이란,"이란,프랑스",
165,텐,,"1,294,000",0.0%,"1,294,000",181,181,1,2,프랑스,"프랑스,이란,미국",
165,스틸 앨리스,2015-04-29,"1,287,000",0.0%,"873,448,546",181,"113,236",7,31,미국,미국,그린나래미디어(주)
167,탐험왕 엘카노&마젤란: 위대한 첫 번째 항해,2021-05-06,"900,000",0.0%,"900,000",180,180,5,18,스페인,스페인,(주)에이원엔터테인먼트
168,몸 값,,"516,000",0.0%,"516,000",172,172,1,13,한국,한국,센트럴파크
168,내가 마지막 본 파리,2011-02-07,"344,000",0.0%,"17,487,000",172,"8,383",1,8,미국,미국,
170,화양연화,2000-10-20,"1,549,900",0.0%,"979,514,600",164,"110,495",2,31,홍콩,"홍콩,프랑스",(주)디스테이션
171,아티스트,2012-02-16,"1,095,000",0.0%,"927,380,100",159,"121,173",8,27,미국,"미국,프랑스",(주)영화사 진진
172,실버라이닝 플레이북,2013-02-14,"1,081,000",0.0%,"965,308,500",158,"129,742",8,30,미국,미국,(주)나이너스엔터테인먼트
173,사랑에 빠진 것처럼,2013-10-17,"1,131,000",0.0%,"30,039,500",157,"3,967",1,2,프랑스,"프랑스,일본,이란",(주)영화사 조제
174,턴: 더 스트릿,2021-03-31,"1,530,000",0.0%,"18,293,000",153,"3,072",1,1,한국,한국,(주)26컴퍼니
175,뽀로로 극장판 보물섬 대모험,2019-04-25,"1,500,000",0.0%,"5,892,412,400",150,"767,889",1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
175,국가대표 2,2016-08-10,"1,500,000",0.0%,"5,485,219,042",150,"710,316",1,1,한국,한국,메가박스중앙(주)플러스엠
175,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,"1,500,000",0.0%,"5,002,747,250",150,"678,241",1,1,한국,한국,(주)씨제이이엔엠
175,톰과 제리,2021-02-24,"1,500,000",0.0%,"1,165,273,600",150,"135,512",1,1,미국,미국,워너브러더스 코리아(주)
175,런닝맨 : 풀룰루의 역습,2018-12-05,"1,500,000",0.0%,"1,428,705,750",150,"187,927",1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
175,정직한 후보,2020-02-12,"1,500,000",0.0%,"12,855,797,030",150,"1,538,188",1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
181,존 휴스턴 회고전-용서받지 못할 자,,"370,000",0.0%,"14,223,000",148,"6,434",1,8,미국,미국,
181,플라워 드럼 송,,"296,000",0.0%,"296,000",148,148,1,9,미국,미국,
183,우리들,2016-06-16,"1,018,500",0.0%,"379,462,614",147,"51,173",13,78,한국,한국,(주)엣나인필름
183,기묘한 이야기: 리플레이,2020-08-23,"1,140,000",0.0%,"31,379,040",147,"7,473",1,5,미국,미국,(주)영화사 안다미로
185,"구름의 저편, 약속의 장소",2017-02-28,"1,173,470",0.0%,"37,025,870",145,"5,039",5,32,일본,일본,(주)삼지애니메이션
186,천국보다 낯선,1995-11-11,"1,167,000",0.0%,"33,791,100",143,"3,898",1,16,미국,미국,(주)영화사 안다미로
187,맨슨 패밀리,2020-06-15,"1,110,000",0.0%,"31,512,000",141,"7,597",1,5,영국,"영국,미국",(주)영화사 안다미로
188,욕망이라는 이름의 전차,,"347,500",0.0%,"27,237,000",139,"11,861",1,6,미국,미국,
189,그리고 삶은 계속된다,1998-03-14,"963,000",0.0%,"1,595,500",138,220,1,4,이란,이란,
190,동사서독 리덕스,2013-12-05,"1,166,000",0.0%,"75,160,000",137,"9,216",2,9,홍콩,"홍콩,대만","(주)디스테이션,(주)엔케이컨텐츠,(주)앤드플러스미디어웍스"
191,체리 향기,1998-01-01,"971,000",0.0%,"6,003,000",134,808,1,3,프랑스,"프랑스,이란",㈜영화사 백두대간
