●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
113,마약왕,2018-12-19,"431,000",0.0%,"-2,445,130",-85.0%,"16,219,355,442",59,-309,-84.0%,"1,863,710",2,8,한국,한국,(주)쇼박스
114,걸어도 걸어도,2009-06-18,"492,000",0.0%,"-464,200",-48.5%,"257,184,800",57,-50,-46.7%,"34,724",2,3,일본,일본,(주)영화사 진진
115,버블 패밀리,2018-12-20,"404,000",0.0%,"-736,000",-64.6%,"10,998,900",54,-127,-70.2%,"1,671",4,19,한국,한국,무브먼트
116,우리들,2016-06-16,"522,000",0.0%,"522,000",100.0%,"372,154,460",53,53,100.0%,"50,177",1,1,한국,한국,(주)엣나인필름
117,로렌조의 밤,2005-08-19,"304,000",0.0%,"304,000",100.0%,"14,508,500",49,49,100.0%,"2,079",1,1,이탈리아,이탈리아,㈜영화사 백두대간
118,어둠속의 외침,,"232,000",0.0%,"60,000",34.9%,"404,000",48,12,33.3%,84,1,1,호주,"호주,미국",
119,언니,2019-01-01,"118,000",0.0%,"-7,824,000",-98.5%,"1,757,325,250",47,-971,-95.4%,"198,276",6,37,한국,한국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
119,더 파티,2018-12-20,"400,000",0.0%,"-229,000",-36.4%,"64,668,450",47,-46,-49.5%,"7,912",3,9,영국,영국,(주)라이크콘텐츠
119,검은 난초,,"94,000",0.0%,"44,000",88.0%,"5,008,000",47,22,88.0%,"2,056",1,1,미국,미국,
122,아르마딜로의 예언,,"318,000",0.0%,"318,000",100.0%,"318,000",45,45,100.0%,45,1,1,이탈리아,이탈리아,
123,예수의 마지막 유혹,2002-01-25,"212,000",0.0%,"-154,000",-42.1%,"722,000",43,-27,-38.6%,144,1,1,미국,미국,(주)코리아준
123,독수리는 다시난다,,"86,000",0.0%,"86,000",100.0%,"170,000",43,43,100.0%,77,1,1,미국,미국,
125,통행증,,"184,000",0.0%,"-158,000",-46.2%,"559,000",41,-30,-42.3%,123,1,1,프랑스,프랑스,
126,리스본의 미스터리,,"186,000",0.0%,"-287,000",-60.7%,"2,339,000",38,-59,-60.8%,454,1,1,포르투갈,"포르투갈,프랑스,브라질",
127,소피의 선택,,"166,000",0.0%,"-68,000",-29.1%,"1,886,000",37,-12,-24.5%,430,1,1,,,
