●40주차 (2020년 09월 28일 ~ 2020년 10월 04일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
139,로슈포르의 숙녀들,2019-08-22,"261,000",0.0%,"261,000",100.0%,"19,567,228",22,22,100.0%,"2,446",1,4,프랑스,프랑스,(주)에스와이코마드
139,나의 산티아고,2016-07-14,"173,500",0.0%,"173,500",100.0%,"725,269,732",22,22,100.0%,"94,744",1,1,독일,독일,(주)영화사 진진
145,아무르,2012-12-19,"169,000",0.0%,"169,000",100.0%,"622,855,100",21,21,100.0%,"81,320",1,2,프랑스,"프랑스,독일,오스트리아",(주)티캐스트
145,공포체험라디오 4DX,2020-09-16,"216,000",0.0%,"-2,669,000",-92.5%,"16,604,000",21,-284,-93.1%,"1,794",9,10,한국,한국,"CGV ICECON,씨제이포디플렉스 주식회사"
145,언니는 말괄량이,,"42,000",0.0%,"42,000",100.0%,"9,734,000",21,21,100.0%,"5,629",1,3,한국,한국,
145,굿타임,2018-01-04,"130,000",0.0%,"130,000",100.0%,"25,683,500",21,21,100.0%,"3,324",1,2,미국,미국,(주)드림팩트엔터테인먼트
145,미스터 스마일,2018-12-27,"99,000",0.0%,"99,000",100.0%,"181,825,300",21,21,100.0%,"22,369",1,2,미국,미국,(주)티캐스트
150,아빠의 천국,,"124,000",0.0%,"124,000",100.0%,"124,000",20,20,100.0%,20,1,1,미국,미국,
151,마티아스와 막심,2020-07-23,"222,000",0.0%,"126,000",131.3%,"111,229,420",19,11,137.5%,"12,405",1,3,캐나다,캐나다,(주)엣나인필름
152,대장 부리바,1973-06-29,"36,000",0.0%,"36,000",100.0%,"28,200,000",18,18,100.0%,"13,554",1,3,미국,미국,
